fecha;referencia;descripcion;debito;credito;saldo;tipoMovimiento;indicadorCargoAbono;importe
14/09/2022 - 16:45;9569900064913;CARGO POR IGTF                    ;-0.14;-0.14;29.740,08;5699;Nota de Débito;-0,14
14/09/2022 - 16:45;0676200064913;COMISION PAGO A PROVEEDORES       ;-7.20;-7.20;29.740,22;7931;Nota de Débito;-7,20
14/09/2022 - 16:43;0590554560727;ABO TRASP A OTRAS CTAS CLAVENET   ;10000.00;10000.00;29.747,42;1602;Nota de Crédito;10.000,00
14/09/2022 - 16:40;9569900064913;CARGO POR IGTF                    ;-57.60;-57.60;19.747,42;5699;Nota de Débito;-57,60
14/09/2022 - 16:40;0329200064913;PAGO A PROVEEDORES B D V          ;-2880.00;-2880.00;19.805,02;6513;Nota de Débito;-2.880,00
14/09/2022 - 16:38;0590593518340;ABO TRASP A OTRAS CTAS CLAVENET   ;12240.00;12240.00;22.685,02;1602;Nota de Crédito;12.240,00
14/09/2022 - 13:04;0590554551300;ABO TRASP A OTRAS CTAS CLAVENET   ;7045.12;7045.12;10.445,02;1602;Nota de Crédito;7.045,12
14/09/2022 - 12:52;0590579939515;ABO TRASP A OTRAS CTAS CLAVENET   ;800.00;800.00;3.399,90;1602;Nota de Crédito;800,00
14/09/2022 - 11:15;9569900057336;CARGO POR IGTF                    ;-0.19;-0.19;2.599,90;5699;Nota de Débito;-0,19
14/09/2022 - 11:15;0676200057336;COMISION PAGO A PROVEEDORES       ;-9.58;-9.58;2.600,09;7931;Nota de Débito;-9,58
14/09/2022 - 11:10;9569900057336;CARGO POR IGTF                    ;-76.64;-76.64;2.609,67;5699;Nota de Débito;-76,64
14/09/2022 - 11:10;0329200057336;PAGO A PROVEEDORES B D V          ;-3832.08;-3832.08;2.686,31;6513;Nota de Débito;-3.832,08
14/09/2022 - 10:10;9569900064881;CARGO POR IGTF                    ;-0.30;-0.30;6.518,39;5699;Nota de Débito;-0,30
14/09/2022 - 10:10;0676200064881;COMISION PAGO A PROVEEDORES       ;-14.81;-14.81;6.518,69;7931;Nota de Débito;-14,81
14/09/2022 - 10:10;9569900064880;CARGO POR IGTF                    ;-0.02;-0.02;6.533,50;5699;Nota de Débito;-0,02
14/09/2022 - 10:10;0676200064880;COMISION PAGO A PROVEEDORES       ;-0.79;-0.79;6.533,52;7931;Nota de Débito;-0,79
14/09/2022 - 10:05;9569900064881;CARGO POR IGTF                    ;-118.52;-118.52;6.534,31;5699;Nota de Débito;-118,52
14/09/2022 - 10:05;0329200064881;PAGO A PROVEEDORES B D V          ;-5926.20;-5926.20;6.652,83;6513;Nota de Débito;-5.926,20
14/09/2022 - 10:05;9569900064880;CARGO POR IGTF                    ;-6.39;-6.39;12.579,03;5699;Nota de Débito;-6,39
14/09/2022 - 10:05;0329200064880;PAGO A PROVEEDORES B D V          ;-319.34;-319.34;12.585,42;6513;Nota de Débito;-319,34
14/09/2022 - 10:02;9569954539305;CARGO POR IGTF                    ;-1.59;-1.59;12.904,76;5699;Nota de Débito;-1,59
14/09/2022 - 10:02;0590554539305;TRASPASO OTRAS CTAS BDV EN LINEA  ;-79.64;-79.64;12.906,35;5602;Nota de Débito;-79,64
14/09/2022 - 10:01;9569954539168;CARGO POR IGTF                    ;-0.56;-0.56;12.985,99;5699;Nota de Débito;-0,56
14/09/2022 - 10:01;0590554539168;TRASPASO OTRAS CTAS BDV EN LINEA  ;-27.87;-27.87;12.986,55;5602;Nota de Débito;-27,87
14/09/2022 - 09:40;9569954537363;CARGO POR IGTF                    ;-0.04;-0.04;13.014,42;5699;Nota de Débito;-0,04
14/09/2022 - 09:40;0590554537363;TRASPASO OTRAS CTAS BDV EN LINEA  ;-2.00;-2.00;13.014,46;5602;Nota de Débito;-2,00
14/09/2022 - 09:39;9569954537266;CARGO POR IGTF                    ;-0.04;-0.04;13.016,46;5699;Nota de Débito;-0,04
14/09/2022 - 09:39;0590554537266;TRASPASO OTRAS CTAS BDV EN LINEA  ;-2.00;-2.00;13.016,50;5602;Nota de Débito;-2,00
14/09/2022 - 09:39;9569954537208;CARGO POR IGTF                    ;-0.04;-0.04;13.018,50;5699;Nota de Débito;-0,04
14/09/2022 - 09:39;0590554537208;TRASPASO OTRAS CTAS BDV EN LINEA  ;-2.00;-2.00;13.018,54;5602;Nota de Débito;-2,00
